geographic_unit_fips,geographic_unit_name,results,postal_code,county_fips
13001_1b,13001_1b,978,GA,13001
13001_1c,13001_1c,629,GA,13001
13001_2,13001_2,1410,GA,13001
13001_3a1,13001_3a1,600,GA,13001
13001_3c,13001_3c,1122,GA,13001
13001_4b,13001_4b,666,GA,13001
13001_4d,13001_4d,1165,GA,13001
13001_5a,13001_5a,792,GA,13001
13001_5b,13001_5b,825,GA,13001
13003_axson,13003_axson,517,GA,13003
13003_pearson-city,13003_pearson-city,543,GA,13003
13003_pearson-county,13003_pearson-county,1185,GA,13003
13003_willacoochee,13003_willacoochee,852,GA,13003
13005_douglas,13005_douglas,4590,GA,13005
13007_anna,13007_anna,122,GA,13007
13007_elmodel,13007_elmodel,287,GA,13007
13007_hoggards-mill,13007_hoggards-mill,230,GA,13007
13007_milford,13007_milford,200,GA,13007
13007_newton,13007_newton,695,GA,13007
13009_boddie,13009_boddie,683,GA,13009
13009_city-hall-annex,13009_city-hall-annex,483,GA,13009
13009_coopers,13009_coopers,1102,GA,13009
13009_courthouse,13009_courthouse,287,GA,13009
13009_east-baldwin,13009_east-baldwin,2750,GA,13009
13009_east-hardwick,13009_east-hardwick,654,GA,13009
13009_fire-dept,13009_fire-dept,924,GA,13009
13009_meriweather,13009_meriweather,2204,GA,13009
13009_north-baldwin,13009_north-baldwin,2709,GA,13009
13009_north-milledgeville,13009_north-milledgeville,1664,GA,13009
13009_scottsboro,13009_scottsboro,699,GA,13009
13009_south-milledgeville,13009_south-milledgeville,766,GA,13009
13009_west-baldwin,13009_west-baldwin,1338,GA,13009
13009_west-hardwick,13009_west-hardwick,1819,GA,13009
13011_anderson,13011_anderson,1006,GA,13011
13011_baldwin,13011_baldwin,628,GA,13011
13011_berlin,13011_berlin,294,GA,13011
13011_bushville,13011_bushville,506,GA,13011
13011_columbia,13011_columbia,279,GA,13011
13011_davids,13011_davids,1274,GA,13011
13011_golden-hill,13011_golden-hill,623,GA,13011
13011_grove-river,13011_grove-river,423,GA,13011
13011_hollingsworth,13011_hollingsworth,482,GA,13011
13011_homer,13011_homer,1060,GA,13011
13011_poplar-springs,13011_poplar-springs,1236,GA,13011
13011_washington,13011_washington,494,GA,13011
13011_wilmonts,13011_wilmonts,420,GA,13011
13013_01-bethlehem-community-center,13013_01-bethlehem-community-center,2311,GA,13013
13013_02-bethlehem-church-211,13013_02-bethlehem-church-211,5022,GA,13013
13013_03-hmong-new-hope-alliance-church,13013_03-hmong-new-hope-alliance-church,4065,GA,13013
13013_04-covenant-life-sanctuary,13013_04-covenant-life-sanctuary,2550,GA,13013
13013_05-fire-station-1-statham,13013_05-fire-station-1-statham,5971,GA,13013
13013_08-first-baptist-church-winder,13013_08-first-baptist-church-winder,4935,GA,13013
13013_13-winder-community-center,13013_13-winder-community-center,5765,GA,13013
13013_16-the-church-at-winder,13013_16-the-church-at-winder,6957,GA,13013
13015_adairsville,13015_adairsville,4753,GA,13015
13015_allatoona,13015_allatoona,2697,GA,13015
13015_cartersville-east,13015_cartersville-east,4367,GA,13015
13015_cartersville-west,13015_cartersville-west,5824,GA,13015
13015_cassville,13015_cassville,3291,GA,13015
13015_center,13015_center,2918,GA,13015
13015_emerson,13015_emerson,2014,GA,13015
13015_euharlee,13015_euharlee,3745,GA,13015
13015_folsom,13015_folsom,1006,GA,13015
13015_hamilton-crossing,13015_hamilton-crossing,4172,GA,13015
13015_kingston,13015_kingston,1859,GA,13015
13015_mission-road,13015_mission-road,2795,GA,13015
13015_pine-log,13015_pine-log,1571,GA,13015
13015_taylorsville,13015_taylorsville,2079,GA,13015
13015_white,13015_white,1939,GA,13015
13015_woodland,13015_woodland,1272,GA,13015
13015_zena-drive,13015_zena-drive,3732,GA,13015
13017_east,13017_east,2421,GA,13017
13017_west,13017_west,4056,GA,13017
13019_alapaha,13019_alapaha,823,GA,13019
13019_enigma,13019_enigma,713,GA,13019
13019_nashville,13019_nashville,4058,GA,13019
13019_ray-city,13019_ray-city,1283,GA,13019
13019_west-berrien,13019_west-berrien,773,GA,13019
13021_east-macon-1,13021_east-macon-1,966,GA,13021
13021_east-macon-2,13021_east-macon-2,2319,GA,13021
13021_east-macon-3,13021_east-macon-3,2118,GA,13021
13021_east-macon-4,13021_east-macon-4,1380,GA,13021
13021_east-macon-5,13021_east-macon-5,1638,GA,13021
13021_godfrey-1,13021_godfrey-1,3291,GA,13021
13021_godfrey-2,13021_godfrey-2,883,GA,13021
13021_godfrey-3,13021_godfrey-3,1697,GA,13021
13021_godfrey-4,13021_godfrey-4,943,GA,13021
13021_godfrey-5,13021_godfrey-5,2626,GA,13021
13021_hazzard-1,13021_hazzard-1,1898,GA,13021
13021_hazzard-2,13021_hazzard-2,2829,GA,13021
13021_hazzard-3,13021_hazzard-3,4470,GA,13021
13021_hazzard-4,13021_hazzard-4,3738,GA,13021
13021_howard-1,13021_howard-1,2719,GA,13021
13021_howard-2,13021_howard-2,2672,GA,13021
13021_howard-3,13021_howard-3,4641,GA,13021
13021_howard-4,13021_howard-4,1224,GA,13021
13021_howard-5,13021_howard-5,1442,GA,13021
13021_howard-6,13021_howard-6,1615,GA,13021
13021_howard-7,13021_howard-7,2301,GA,13021
13021_rutland-1,13021_rutland-1,4329,GA,13021
13021_rutland-2,13021_rutland-2,2460,GA,13021
13021_vineville-1,13021_vineville-1,2188,GA,13021
13021_vineville-2,13021_vineville-2,1232,GA,13021
13021_vineville-3,13021_vineville-3,1735,GA,13021
13021_vineville-4,13021_vineville-4,2324,GA,13021
13021_vineville-5,13021_vineville-5,1750,GA,13021
13021_vineville-6,13021_vineville-6,2130,GA,13021
13021_warrior-1,13021_warrior-1,1976,GA,13021
13021_warrior-2,13021_warrior-2,2453,GA,13021
13023_fairground,13023_fairground,5644,GA,13023
13025_hoboken,13025_hoboken,2348,GA,13025
13025_nahunta,13025_nahunta,2755,GA,13025
13025_waynesville,13025_waynesville,2513,GA,13025
13027_barwick,13027_barwick,245,GA,13027
13027_briggs,13027_briggs,1461,GA,13027
13027_dixie,13027_dixie,753,GA,13027
13027_morven,13027_morven,1316,GA,13027
13027_nankin,13027_nankin,499,GA,13027
13027_pavo,13027_pavo,430,GA,13027
13027_quitman,13027_quitman,2272,GA,13027
13029_black-creek,13029_black-creek,1846,GA,13029
13029_danielsiding,13029_danielsiding,1667,GA,13029
13029_ellabell,13029_ellabell,1603,GA,13029
13029_hwy-144-east,13029_hwy-144-east,3953,GA,13029
13029_jf-gregory-park,13029_jf-gregory-park,2247,GA,13029
13029_keller,13029_keller,3256,GA,13029
13029_pembroke,13029_pembroke,1684,GA,13029
13029_public-safety-complex,13029_public-safety-complex,1602,GA,13029
13029_rh-rec-complex,13029_rh-rec-complex,2045,GA,13029
13029_ways-station,13029_ways-station,1260,GA,13029
13031_bay,13031_bay,1194,GA,13031
13031_blitch,13031_blitch,1536,GA,13031
13031_brooklet,13031_brooklet,2466,GA,13031
13031_church,13031_church,3752,GA,13031
13031_emit,13031_emit,2398,GA,13031
13031_fair,13031_fair,4303,GA,13031
13031_hagin,13031_hagin,1641,GA,13031
13031_leefield,13031_leefield,749,GA,13031
13031_lockhart,13031_lockhart,536,GA,13031
13031_nevils,13031_nevils,909,GA,13031
13031_pittman-park,13031_pittman-park,2757,GA,13031
13031_portal,13031_portal,1148,GA,13031
13031_register,13031_register,629,GA,13031
13031_sinkhole,13031_sinkhole,356,GA,13031
13031_statesboro,13031_statesboro,3988,GA,13031
13031_stilson,13031_stilson,1431,GA,13031
13033_alexander,13033_alexander,269,GA,13033
13033_blakeney,13033_blakeney,397,GA,13033
13033_four-points,13033_four-points,1586,GA,13033
13033_girard,13033_girard,465,GA,13033
13033_gough,13033_gough,309,GA,13033
13033_greenscut,13033_greenscut,677,GA,13033
13033_keysville,13033_keysville,259,GA,13033
13033_midville,13033_midville,302,GA,13033
13033_munnerlyn,13033_munnerlyn,196,GA,13033
13033_north-waynesboro,13033_north-waynesboro,1763,GA,13033
13033_sardis,13033_sardis,641,GA,13033
13033_scotts-crossroads,13033_scotts-crossroads,189,GA,13033
13033_south-waynesboro,13033_south-waynesboro,2293,GA,13033
13033_st-clair,13033_st-clair,315,GA,13033
13033_telfair,13033_telfair,689,GA,13033
13033_vidette,13033_vidette,210,GA,13033
13035_butts-county-admin-bldg,13035_butts-county-admin-bldg,11671,GA,13035
13037_arlington,13037_arlington,467,GA,13037
13037_edison,13037_edison,303,GA,13037
13037_edison-arlington,13037_edison-arlington,391,GA,13037
13037_leary,13037_leary,518,GA,13037
13037_morgan,13037_morgan,493,GA,13037
13039_browntown,13039_browntown,460,GA,13039
13039_east-kingsland,13039_east-kingsland,4458,GA,13039
13039_harrietts-bluff,13039_harrietts-bluff,1382,GA,13039
13039_kingsland,13039_kingsland,1261,GA,13039
13039_mush-bluff,13039_mush-bluff,1974,GA,13039
13039_north-kingsland,13039_north-kingsland,1561,GA,13039
13039_north-st-marys,13039_north-st-marys,961,GA,13039
13039_south-st-marys,13039_south-st-marys,1557,GA,13039
13039_st-marys,13039_st-marys,2100,GA,13039
13039_tarboro,13039_tarboro,675,GA,13039
13039_waverly,13039_waverly,1227,GA,13039
13039_west-kingsland,13039_west-kingsland,1856,GA,13039
13039_west-st-marys,13039_west-st-marys,2499,GA,13039
13039_woodbine,13039_woodbine,1378,GA,13039
13043_jack-strickland-comm-center,13043_jack-strickland-comm-center,4371,GA,13043
13045_bethany,13045_bethany,2675,GA,13045
13045_bonner,13045_bonner,2385,GA,13045
13045_bowdon,13045_bowdon,1974,GA,13045
13045_bowdon-junction,13045_bowdon-junction,964,GA,13045
13045_burson-center,13045_burson-center,965,GA,13045
13045_burwell,13045_burwell,1078,GA,13045
13045_center-point,13045_center-point,1352,GA,13045
13045_clem,13045_clem,2725,GA,13045
13045_county-admin-bldg,13045_county-admin-bldg,1749,GA,13045
13045_fairfield,13045_fairfield,2929,GA,13045
13045_hulett,13045_hulett,1728,GA,13045
13045_kansas,13045_kansas,862,GA,13045
13045_lakeshore-rec-center,13045_lakeshore-rec-center,1030,GA,13045
13045_mt-zion,13045_mt-zion,1746,GA,13045
13045_oak-grove,13045_oak-grove,1109,GA,13045
13045_old-camp-church,13045_old-camp-church,1666,GA,13045
13045_roopville,13045_roopville,2213,GA,13045
13045_sandhill,13045_sandhill,2829,GA,13045
13045_tabernacle-church,13045_tabernacle-church,1133,GA,13045
13045_temple-city,13045_temple-city,2321,GA,13045
13045_temple-county,13045_temple-county,2658,GA,13045
13045_tyus,13045_tyus,1355,GA,13045
13045_university-of-w-ga,13045_university-of-w-ga,1277,GA,13045
13045_v-r-county-north,13045_v-r-county-north,3402,GA,13045
13045_v-r-county-south,13045_v-r-county-south,1903,GA,13045
13045_villa-rica-city,13045_villa-rica-city,4241,GA,13045
13045_west-carrollton,13045_west-carrollton,2247,GA,13045
13045_whitesburg,13045_whitesburg,1457,GA,13045
13047_blackstock,13047_blackstock,1303,GA,13047
13047_boynton,13047_boynton,4523,GA,13047
13047_catoosa-keith,13047_catoosa-keith,1866,GA,13047
13047_chambers,13047_chambers,2008,GA,13047
13047_ft-oglethorpe,13047_ft-oglethorpe,2684,GA,13047
13047_graysville,13047_graysville,3105,GA,13047
13047_lakeview,13047_lakeview,2144,GA,13047
13047_poplar-springs,13047_poplar-springs,3022,GA,13047
13047_ringgold,13047_ringgold,5418,GA,13047
13047_westside,13047_westside,3848,GA,13047
13047_woodstation,13047_woodstation,2253,GA,13047
13049_american-legion,13049_american-legion,586,GA,13049
13049_folkston,13049_folkston,1541,GA,13049
13049_folkston-fire,13049_folkston-fire,548,GA,13049
13049_ga-bend,13049_ga-bend,347,GA,13049
13049_homeland,13049_homeland,595,GA,13049
13049_racepond,13049_racepond,210,GA,13049
13049_st-george,13049_st-george,429,GA,13049
13049_winokur,13049_winokur,221,GA,13049
13051_1-01c-first-presbyterian-church,13051_1-01c-first-presbyterian-church,2563,GA,13051
13051_1-05c-jea-building,13051_1-05c-jea-building,1555,GA,13051
13051_1-06c-central-church-of-christ,13051_1-06c-central-church-of-christ,1571,GA,13051
13051_1-08c-grace-united-methodist-church,13051_1-08c-grace-united-methodist-church,1207,GA,13051
13051_1-09c-immanuel-baptist-church,13051_1-09c-immanuel-baptist-church,441,GA,13051
13051_1-10c-st-thomas-episcopal-church,13051_1-10c-st-thomas-episcopal-church,940,GA,13051
13051_1-12c-isle-of-hope-baptist,13051_1-12c-isle-of-hope-baptist,1627,GA,13051
13051_1-13c-the-sanctuary,13051_1-13c-the-sanctuary,1005,GA,13051
13051_1-14c-compassion-christian-church,13051_1-14c-compassion-christian-church,1279,GA,13051
13051_1-16c-ferguson-ave-baptist,13051_1-16c-ferguson-ave-baptist,2089,GA,13051
13051_1-17c-islands-christian-church,13051_1-17c-islands-christian-church,2518,GA,13051
13051_2-02c-blackshear-community-center,13051_2-02c-blackshear-community-center,876,GA,13051
13051_2-03c-w-w-law-center,13051_2-03c-w-w-law-center,838,GA,13051
13051_2-04c-fellowship-of-love-church,13051_2-04c-fellowship-of-love-church,1774,GA,13051
13051_2-05c-holy-spirit-lutheran-church,13051_2-05c-holy-spirit-lutheran-church,1267,GA,13051
13051_2-06c-eli-whitney-complex,13051_2-06c-eli-whitney-complex,395,GA,13051
13051_2-07c-christ-community-church,13051_2-07c-christ-community-church,1571,GA,13051
13051_2-09c-salvation-army,13051_2-09c-salvation-army,1998,GA,13051
13051_2-11c-stillwell-towers,13051_2-11c-stillwell-towers,997,GA,13051
13051_2-12c-williams-court-apts,13051_2-12c-williams-court-apts,954,GA,13051
13051_3-01c-old-courthouse,13051_3-01c-old-courthouse,298,GA,13051
13051_3-02c-temple-mickve-israel,13051_3-02c-temple-mickve-israel,1111,GA,13051
13051_3-03c-savannah-high-school,13051_3-03c-savannah-high-school,599,GA,13051
13051_3-04c-first-african-baptist-church,13051_3-04c-first-african-baptist-church,858,GA,13051
13051_3-05c-aldersgate-youth-center,13051_3-05c-aldersgate-youth-center,1189,GA,13051
13051_3-08c-jenkins-high-school,13051_3-08c-jenkins-high-school,790,GA,13051
13051_3-09c-cokesbury-methodist,13051_3-09c-cokesbury-methodist,521,GA,13051
13051_3-10c-bible-baptist-church,13051_3-10c-bible-baptist-church,1595,GA,13051
13051_3-11c-southside-baptist-church,13051_3-11c-southside-baptist-church,870,GA,13051
13051_3-12c-thunderbolt-muni-complex,13051_3-12c-thunderbolt-muni-complex,1163,GA,13051
13051_3-13c-new-cov-7-day-adv-ch,13051_3-13c-new-cov-7-day-adv-ch,1372,GA,13051
13051_3-14c-oglethorpe-charter-academy,13051_3-14c-oglethorpe-charter-academy,1521,GA,13051
13051_3-15c-eli-whitney-complex,13051_3-15c-eli-whitney-complex,643,GA,13051
13051_4-02c-frank-murray-comm-center,13051_4-02c-frank-murray-comm-center,1689,GA,13051
13051_4-04c-lighthouse-baptist-church,13051_4-04c-lighthouse-baptist-church,1838,GA,13051
13051_4-05c-st-francis-episcopal-church,13051_4-05c-st-francis-episcopal-church,1742,GA,13051
13051_4-06c-first-baptist-of-the-island,13051_4-06c-first-baptist-of-the-island,1780,GA,13051
13051_4-07c-wilmington-island-umc,13051_4-07c-wilmington-island-umc,2478,GA,13051
13051_4-08c-wilmington-island-pres-church,13051_4-08c-wilmington-island-pres-church,2183,GA,13051
13051_4-10c-guard-house-comm-ctr,13051_4-10c-guard-house-comm-ctr,1150,GA,13051
13051_4-11c-tybee-island-school-cafe,13051_4-11c-tybee-island-school-cafe,1262,GA,13051
13051_4-12c-st-peters-episcopal,13051_4-12c-st-peters-episcopal,1969,GA,13051
13051_4-13c-skidaway-island-pres-church,13051_4-13c-skidaway-island-pres-church,2123,GA,13051
13051_4-14c-skidaway-island-baptist,13051_4-14c-skidaway-island-baptist,1492,GA,13051
13051_4-15c-skidaway-island-state-park,13051_4-15c-skidaway-island-state-park,1562,GA,13051
13051_5-01c-bartlett-middle-school,13051_5-01c-bartlett-middle-school,613,GA,13051
13051_5-02c-senior-citizens-center,13051_5-02c-senior-citizens-center,400,GA,13051
13051_5-03c-butler-presbyterian-church,13051_5-03c-butler-presbyterian-church,564,GA,13051
13051_5-05c-liberty-city-comm-ctr,13051_5-05c-liberty-city-comm-ctr,1639,GA,13051
13051_5-06c-seed-church,13051_5-06c-seed-church,1248,GA,13051
13051_5-07c-station-1,13051_5-07c-station-1,1049,GA,13051
13051_5-08c-savannah-primitive-bc,13051_5-08c-savannah-primitive-bc,1111,GA,13051
13051_5-10c-tatumville-community-center,13051_5-10c-tatumville-community-center,2006,GA,13051
13051_5-11c-largo-tibet-elementary,13051_5-11c-largo-tibet-elementary,1722,GA,13051
13051_6-01c-white-bluff-presbyterian,13051_6-01c-white-bluff-presbyterian,1170,GA,13051
13051_6-02c-windsor-forest-baptist,13051_6-02c-windsor-forest-baptist,1792,GA,13051
13051_6-03c-crusader-comm-center,13051_6-03c-crusader-comm-center,1960,GA,13051
13051_6-05c-windsor-hall,13051_6-05c-windsor-hall,1241,GA,13051
13051_6-06c-the-light-church,13051_6-06c-the-light-church,924,GA,13051
13051_6-08c-christ-memorial-baptist-church,13051_6-08c-christ-memorial-baptist-church,1228,GA,13051
13051_6-09c-trinity-lutheran-church,13051_6-09c-trinity-lutheran-church,2254,GA,13051
13051_6-10c-station-3,13051_6-10c-station-3,2941,GA,13051
13051_6-11c-bamboo-farms,13051_6-11c-bamboo-farms,3115,GA,13051
13051_7-01c-garden-city-senior-ctr,13051_7-01c-garden-city-senior-ctr,904,GA,13051
13051_7-03c-pb-edwards-gym,13051_7-03c-pb-edwards-gym,760,GA,13051
13051_7-04c-lake-shore-comm-ctr,13051_7-04c-lake-shore-comm-ctr,1916,GA,13051
13051_7-05c-woodlawn-baptist-church,13051_7-05c-woodlawn-baptist-church,744,GA,13051
13051_7-06c-pooler-city-hall,13051_7-06c-pooler-city-hall,2133,GA,13051
13051_7-07c-rothwell-baptist-church,13051_7-07c-rothwell-baptist-church,2623,GA,13051
13051_7-08c-bloomingdale-comm-ctr,13051_7-08c-bloomingdale-comm-ctr,1749,GA,13051
13051_7-09c-savannah-holy-c-of-g,13051_7-09c-savannah-holy-c-of-g,1693,GA,13051
13051_7-10c-progressive-rec-center,13051_7-10c-progressive-rec-center,2578,GA,13051
13051_7-11c-seventh-day-adv-church,13051_7-11c-seventh-day-adv-church,4009,GA,13051
13051_7-12c-pooler-church,13051_7-12c-pooler-church,2323,GA,13051
13051_7-13c-southside-fire-trng-ctr,13051_7-13c-southside-fire-trng-ctr,2070,GA,13051
13051_7-14c-coastal-cathedral,13051_7-14c-coastal-cathedral,5003,GA,13051
13051_7-15c-rice-creek-school,13051_7-15c-rice-creek-school,1538,GA,13051
13051_7-16c-pooler-recreation-center-gymnasium,13051_7-16c-pooler-recreation-center-gymnasium,2660,GA,13051
13051_8-01c-civic-center,13051_8-01c-civic-center,325,GA,13051
13051_8-02c-hellenic-center,13051_8-02c-hellenic-center,1003,GA,13051
13051_8-03c-silk-hope-baptist-church,13051_8-03c-silk-hope-baptist-church,466,GA,13051
13051_8-05c-w-broad-st-ymca,13051_8-05c-w-broad-st-ymca,679,GA,13051
13051_8-06c-tompkins-rec-center,13051_8-06c-tompkins-rec-center,531,GA,13051
