geographic_unit_fips,geographic_unit_name,results,postal_code,county_fips
13001_1b,13001_1b,746.0,GA,13001
13001_1c,13001_1c,477.0,GA,13001
13001_2,13001_2,1285.0,GA,13001
13001_3a1,13001_3a1,452.0,GA,13001
13001_3c,13001_3c,892.0,GA,13001
13001_4b,13001_4b,482.0,GA,13001
13001_4d,13001_4d,851.0,GA,13001
13001_5a,13001_5a,647.0,GA,13001
13001_5b,13001_5b,657.0,GA,13001
13003_axson,13003_axson,368.0,GA,13003
13003_pearson-city,13003_pearson-city,448.0,GA,13003
13003_pearson-county,13003_pearson-county,891.0,GA,13003
13003_willacoochee,13003_willacoochee,630.0,GA,13003
13005_douglas,13005_douglas,3614.0,GA,13005
13007_anna,13007_anna,97.0,GA,13007
13007_elmodel,13007_elmodel,235.0,GA,13007
13007_hoggards-mill,13007_hoggards-mill,202.0,GA,13007
13007_milford,13007_milford,166.0,GA,13007
13007_newton,13007_newton,618.0,GA,13007
13009_boddie,13009_boddie,762.0,GA,13009
13009_city-hall-annex,13009_city-hall-annex,538.0,GA,13009
13009_coopers,13009_coopers,881.0,GA,13009
13009_courthouse,13009_courthouse,285.0,GA,13009
13009_east-baldwin,13009_east-baldwin,2179.0,GA,13009
13009_east-hardwick,13009_east-hardwick,731.0,GA,13009
13009_fire-dept,13009_fire-dept,829.0,GA,13009
13009_meriweather,13009_meriweather,1627.0,GA,13009
13009_north-baldwin,13009_north-baldwin,1973.0,GA,13009
13009_north-milledgeville,13009_north-milledgeville,1220.0,GA,13009
13009_scottsboro,13009_scottsboro,633.0,GA,13009
13009_south-milledgeville,13009_south-milledgeville,696.0,GA,13009
13009_west-baldwin,13009_west-baldwin,1051.0,GA,13009
13009_west-hardwick,13009_west-hardwick,1620.0,GA,13009
13011_anderson,13011_anderson,798.0,GA,13011
13011_baldwin,13011_baldwin,451.0,GA,13011
13011_berlin,13011_berlin,223.0,GA,13011
13011_bushville,13011_bushville,426.0,GA,13011
13011_columbia,13011_columbia,184.0,GA,13011
13011_davids,13011_davids,1026.0,GA,13011
13011_golden-hill,13011_golden-hill,510.0,GA,13011
13011_grove-river,13011_grove-river,315.0,GA,13011
13011_hollingsworth,13011_hollingsworth,342.0,GA,13011
13011_homer,13011_homer,787.0,GA,13011
13011_poplar-springs,13011_poplar-springs,928.0,GA,13011
13011_washington,13011_washington,364.0,GA,13011
13011_wilmonts,13011_wilmonts,316.0,GA,13011
13013_01-bethlehem-community-center,13013_01-bethlehem-community-center,1673.0,GA,13013
13013_02-bethlehem-church-211,13013_02-bethlehem-church-211,3340.0,GA,13013
13013_03-hmong-new-hope-alliance-church,13013_03-hmong-new-hope-alliance-church,3129.0,GA,13013
13013_04-covenant-life-sanctuary,13013_04-covenant-life-sanctuary,1963.0,GA,13013
13013_05-fire-station-1-statham,13013_05-fire-station-1-statham,4170.0,GA,13013
13013_08-first-baptist-church-winder,13013_08-first-baptist-church-winder,3478.0,GA,13013
13013_13-winder-community-center,13013_13-winder-community-center,4670.0,GA,13013
13013_16-the-church-at-winder,13013_16-the-church-at-winder,5142.0,GA,13013
13015_adairsville,13015_adairsville,3538.0,GA,13015
13015_allatoona,13015_allatoona,2351.0,GA,13015
13015_cartersville-east,13015_cartersville-east,3395.0,GA,13015
13015_cartersville-west,13015_cartersville-west,4109.0,GA,13015
13015_cassville,13015_cassville,2297.0,GA,13015
13015_center,13015_center,1997.0,GA,13015
13015_emerson,13015_emerson,1553.0,GA,13015
13015_euharlee,13015_euharlee,2699.0,GA,13015
13015_folsom,13015_folsom,732.0,GA,13015
13015_hamilton-crossing,13015_hamilton-crossing,3292.0,GA,13015
13015_kingston,13015_kingston,1374.0,GA,13015
13015_mission-road,13015_mission-road,2022.0,GA,13015
13015_pine-log,13015_pine-log,1080.0,GA,13015
13015_taylorsville,13015_taylorsville,1421.0,GA,13015
13015_white,13015_white,1380.0,GA,13015
13015_woodland,13015_woodland,925.0,GA,13015
13015_zena-drive,13015_zena-drive,3182.0,GA,13015
13017_east,13017_east,2183.0,GA,13017
13017_west,13017_west,3277.0,GA,13017
13019_alapaha,13019_alapaha,617.0,GA,13019
13019_enigma,13019_enigma,624.0,GA,13019
13019_nashville,13019_nashville,3332.0,GA,13019
13019_ray-city,13019_ray-city,1057.0,GA,13019
13019_west-berrien,13019_west-berrien,548.0,GA,13019
13021_east-macon-1,13021_east-macon-1,1134.0,GA,13021
13021_east-macon-2,13021_east-macon-2,2142.0,GA,13021
13021_east-macon-3,13021_east-macon-3,1899.0,GA,13021
13021_east-macon-4,13021_east-macon-4,1233.0,GA,13021
13021_east-macon-5,13021_east-macon-5,1383.0,GA,13021
13021_godfrey-1,13021_godfrey-1,3445.0,GA,13021
13021_godfrey-2,13021_godfrey-2,1160.0,GA,13021
13021_godfrey-3,13021_godfrey-3,1739.0,GA,13021
13021_godfrey-4,13021_godfrey-4,1212.0,GA,13021
13021_godfrey-5,13021_godfrey-5,2576.0,GA,13021
13021_hazzard-1,13021_hazzard-1,1855.0,GA,13021
13021_hazzard-2,13021_hazzard-2,2246.0,GA,13021
13021_hazzard-3,13021_hazzard-3,3889.0,GA,13021
13021_hazzard-4,13021_hazzard-4,2622.0,GA,13021
13021_howard-1,13021_howard-1,1865.0,GA,13021
13021_howard-2,13021_howard-2,1837.0,GA,13021
13021_howard-3,13021_howard-3,3455.0,GA,13021
13021_howard-4,13021_howard-4,944.0,GA,13021
13021_howard-5,13021_howard-5,1225.0,GA,13021
13021_howard-6,13021_howard-6,1195.0,GA,13021
13021_howard-7,13021_howard-7,1564.0,GA,13021
13021_rutland-1,13021_rutland-1,3115.0,GA,13021
13021_rutland-2,13021_rutland-2,1874.0,GA,13021
13021_vineville-1,13021_vineville-1,1930.0,GA,13021
13021_vineville-2,13021_vineville-2,1130.0,GA,13021
13021_vineville-3,13021_vineville-3,1700.0,GA,13021
13021_vineville-4,13021_vineville-4,2258.0,GA,13021
13021_vineville-5,13021_vineville-5,1288.0,GA,13021
13021_vineville-6,13021_vineville-6,1661.0,GA,13021
13021_warrior-1,13021_warrior-1,1440.0,GA,13021
13021_warrior-2,13021_warrior-2,1784.0,GA,13021
13023_fairground,13023_fairground,4768.0,GA,13023
13025_hoboken,13025_hoboken,1641.0,GA,13025
13025_nahunta,13025_nahunta,1995.0,GA,13025
13025_waynesville,13025_waynesville,2063.0,GA,13025
13027_barwick,13027_barwick,183.0,GA,13027
13027_briggs,13027_briggs,1209.0,GA,13027
13027_dixie,13027_dixie,551.0,GA,13027
13027_morven,13027_morven,1028.0,GA,13027
13027_nankin,13027_nankin,385.0,GA,13027
13027_pavo,13027_pavo,312.0,GA,13027
13027_quitman,13027_quitman,2075.0,GA,13027
13029_black-creek,13029_black-creek,1438.0,GA,13029
13029_danielsiding,13029_danielsiding,1075.0,GA,13029
13029_ellabell,13029_ellabell,1147.0,GA,13029
13029_hwy-144-east,13029_hwy-144-east,2530.0,GA,13029
13029_jf-gregory-park,13029_jf-gregory-park,1359.0,GA,13029
13029_keller,13029_keller,1956.0,GA,13029
13029_pembroke,13029_pembroke,1257.0,GA,13029
13029_public-safety-complex,13029_public-safety-complex,1220.0,GA,13029
13029_rh-rec-complex,13029_rh-rec-complex,1460.0,GA,13029
13029_ways-station,13029_ways-station,913.0,GA,13029
13031_bay,13031_bay,878.0,GA,13031
13031_blitch,13031_blitch,1057.0,GA,13031
13031_brooklet,13031_brooklet,1820.0,GA,13031
13031_church,13031_church,3107.0,GA,13031
13031_emit,13031_emit,1821.0,GA,13031
13031_fair,13031_fair,3412.0,GA,13031
13031_hagin,13031_hagin,1300.0,GA,13031
13031_leefield,13031_leefield,540.0,GA,13031
13031_lockhart,13031_lockhart,400.0,GA,13031
13031_nevils,13031_nevils,716.0,GA,13031
13031_pittman-park,13031_pittman-park,2860.0,GA,13031
13031_portal,13031_portal,948.0,GA,13031
13031_register,13031_register,540.0,GA,13031
13031_sinkhole,13031_sinkhole,267.0,GA,13031
13031_statesboro,13031_statesboro,3406.0,GA,13031
13031_stilson,13031_stilson,1171.0,GA,13031
13033_alexander,13033_alexander,207.0,GA,13033
13033_blakeney,13033_blakeney,356.0,GA,13033
13033_four-points,13033_four-points,1350.0,GA,13033
13033_girard,13033_girard,385.0,GA,13033
13033_gough,13033_gough,229.0,GA,13033
13033_greenscut,13033_greenscut,547.0,GA,13033
13033_keysville,13033_keysville,247.0,GA,13033
13033_midville,13033_midville,260.0,GA,13033
13033_munnerlyn,13033_munnerlyn,161.0,GA,13033
13033_north-waynesboro,13033_north-waynesboro,1540.0,GA,13033
13033_sardis,13033_sardis,545.0,GA,13033
13033_scotts-crossroads,13033_scotts-crossroads,149.0,GA,13033
13033_south-waynesboro,13033_south-waynesboro,1730.0,GA,13033
13033_st-clair,13033_st-clair,238.0,GA,13033
13033_telfair,13033_telfair,601.0,GA,13033
13033_vidette,13033_vidette,168.0,GA,13033
13035_butts-county-admin-bldg,13035_butts-county-admin-bldg,8834.0,GA,13035
13037_arlington,13037_arlington,405.0,GA,13037
13037_edison,13037_edison,307.0,GA,13037
13037_edison-arlington,13037_edison-arlington,360.0,GA,13037
