"postal_code","geographic_unit_name","geographic_unit_fips","results","county_fips"
"GA","Appling","13001",7086,"13001"
"GA","Atkinson","13003",2902,"13003"
"GA","Bacon","13005",3931,"13005"
"GA","Baker","13007",1589,"13007"
"GA","Baldwin","13009",16238,"13009"
"GA","Banks","13011",6195,"13011"
"GA","Barrow","13013",25199,"13013"
"GA","Bartow","13015",35802,"13015"
"GA","Ben Hill","13017",5956,"13017"
"GA","Berrien","13019",6201,"13019"
"GA","Bibb","13021",64718,"13021"
"GA","Bleckley","13023",4907,"13023"
"GA","Brantley","13025",6002,"13025"
"GA","Brooks","13027",6742,"13027"
"GA","Bryan","13029",13453,"13029"
"GA","Bulloch","13031",24085,"13031"
"GA","Burke","13033",9779,"13033"
"GA","Butts","13035",9381,"13035"
"GA","Calhoun","13037",2188,"13037"
"GA","Camden","13039",17983,"13039"
"GA","Candler","13043",3528,"13043"
"GA","Carroll","13045",41549,"13045"
"GA","Catoosa","13047",23678,"13047"
"GA","Charlton","13049",3764,"13049"
"GA","Chatham","13051",108628,"13051"
"GA","Chattahoochee","13053",1490,"13053"
"GA","Chattooga","13055",7822,"13055"
"GA","Cherokee","13057",98220,"13057"
"GA","Clarke","13059",40368,"13059"
"GA","Clay","13061",1402,"13061"
"GA","Clayton","13063",96067,"13063"
"GA","Clinch","13065",2472,"13065"
"GA","Cobb","13067",310116,"13067"
"GA","Coffee","13069",14454,"13069"
"GA","Colquitt","13071",13328,"13071"
"GA","Columbia","13073",58923,"13073"
"GA","Cook","13075",6031,"13075"
"GA","Coweta","13077",55555,"13077"
"GA","Crawford","13079",5133,"13079"
"GA","Crisp","13081",7396,"13081"
"GA","Dade","13083",6020,"13083"
"GA","Dawson","13085",10244,"13085"
"GA","Decatur","13087",10485,"13087"
"GA","DeKalb","13089",306265,"13089"
"GA","Dodge","13091",7733,"13091"
"GA","Dooly","13093",4298,"13093"
"GA","Dougherty","13095",37919,"13095"
"GA","Douglas","13097",55267,"13097"
"GA","Early","13099",5353,"13099"
"GA","Echols","13101",1102,"13101"
"GA","Effingham","13103",20816,"13103"
"GA","Elbert","13105",8143,"13105"
"GA","Emanuel","13107",8083,"13107"
"GA","Evans","13109",3563,"13109"
"GA","Fannin","13111",10017,"13111"
"GA","Fayette","13113",58568,"13113"
"GA","Floyd","13115",32829,"13115"
"GA","Forsyth","13117",81731,"13117"
"GA","Franklin","13119",7762,"13119"
"GA","Fulton","13121",397413,"13121"
